followers,following,public_repos,public_gists,account_created_at,account_age_days,bio_length,hireable,site_admin,type,popularity_score,follower_following_ratio,influence_score,total_projects,project_density,repo_gist_ratio,experience_score,repos_per_year,has_bio,has_company,has_location,profile_completeness,engagement_index,productivity_proxy,influence_density
287,16,10,25,2008-07-09 16:35:25+00:00,6421,0,0,0,User,5.66296048,16.88235294,205.7,35,0.005450016,0.384615385,8.767484875,0.53787209,0,0,1,1,307,87.67484875,26.09090909
40,0,18,0,2017-10-04 17:14:03+00:00,3047,0,0,0,User,3.713572067,40,28,18,0.005905512,18,8.022240917,1.925556858,0,1,1,2,78,144.4003365,2.105263158
69,1,7,0,2017-05-21 00:55:55+00:00,3184,0,0,0,User,4.248495242,34.5,48.6,7,0.002197802,7,8.066207568,0.719921105,0,0,0,0,76,56.46345298,8.625
240,6,70,16,2013-01-24 17:25:15+00:00,4761,0,0,0,User,5.484796933,34.28571429,169.8,86,0.018059639,4.117647059,8.468423027,4.984393289,0,0,1,1,320,592.7896119,3.38028169
44,0,7,0,2014-05-08 13:39:51+00:00,4293,0,0,0,User,3.80666249,44,30.8,7,0.001630182,7,8.364973978,0.548518678,0,1,1,2,71,58.55481785,5.5
468,2,18,1,2011-01-21 21:56:41+00:00,5495,0,0,0,User,6.150602768,156,328.2,19,0.00345706,9,8.611775834,1.12116041,0,0,1,1,496,155.011965,24.63157895
643,15,19,1,2011-11-13 21:10:13+00:00,5199,0,0,0,User,6.467698726,40.1875,454.6,20,0.003846154,9.5,8.556413905,1.246405464,0,1,1,2,682,162.5718642,32.15
308,0,12,0,2013-02-28 20:14:16+00:00,4726,0,0,0,User,5.733341277,308,215.6,12,0.002538608,12,8.461046031,0.86034178,0,0,0,0,320,101.5325524,23.69230769
22,0,22,0,2017-09-06 16:46:33+00:00,3075,0,0,0,User,3.135494216,22,15.4,22,0.007152146,22,8.031385331,2.334302326,0,1,1,2,64,176.6904773,0.956521739
51,5,13,3,2012-07-17 08:40:44+00:00,4953,34,0,0,User,3.951243719,8.5,37.2,16,0.003229713,3.25,8.50795061,0.892252727,1,0,0,1,74,110.6033579,3.642857143
57,26,8,0,2011-10-20 17:15:14+00:00,5223,27,0,0,User,4.060443011,2.111111111,47.7,8,0.001531394,8,8.561018671,0.522548318,1,1,1,3,95,68.48814937,6.333333333
27,0,8,0,2015-02-21 08:50:57+00:00,4004,0,1,0,User,3.33220451,27,18.9,8,0.001997503,8,8.29529886,0.668345159,0,1,1,3,65,66.36239088,3
105,0,9,0,2011-09-22 19:35:08+00:00,5251,0,0,0,User,4.663439094,105,73.5,9,0.001713633,9,8.566364235,0.584935897,0,1,1,2,134,77.09727812,10.5
7,0,4,0,2021-07-01 18:43:33+00:00,1681,0,0,0,User,2.079441542,7,4.9,4,0.002378121,4,7.427738841,0.713587488,0,0,1,1,21,29.71095536,1.4
322,2,41,0,2012-05-30 18:12:49+00:00,5000,0,0,0,User,5.777652323,107.3333333,226,41,0.00819836,41,8.517393171,2.789375582,0,0,0,0,363,349.21312,7.666666667
594,4,17,24,2008-04-04 15:59:57+00:00,6517,0,0,0,User,6.388561406,118.8,417,41,0.006290273,0.68,8.782322859,0.901627434,0,0,0,0,611,149.2994886,33
217,3,10,0,2016-09-07 18:56:03+00:00,3439,0,0,0,User,5.384495063,54.25,152.8,10,0.002906977,10,8.14322675,0.959516299,0,0,0,0,227,81.4322675,19.72727273
509,1,50,9,2012-02-07 04:28:55+00:00,5114,0,0,0,User,6.234410726,254.5,356.6,59,0.011534702,5,8.539932678,3.330899799,0,0,0,0,559,426.9966339,9.980392157
78,0,15,0,2014-01-27 01:16:04+00:00,4394,0,0,0,User,4.369447852,78,54.6,15,0.003412969,15,8.38822281,1.150451776,0,0,0,0,93,125.8233422,4.875
10,1,2,0,2020-05-11 20:38:37+00:00,2097,0,0,0,User,2.397895273,5,7.3,2,0.000953289,2,7.648739789,0.296506905,0,1,1,2,32,15.29747958,3.333333333
242,0,22,4,2009-05-26 17:22:02+00:00,6100,0,0,0,User,5.493061443,242,169.4,26,0.004261596,4.4,8.716207971,1.242072699,0,0,0,0,264,191.7565754,10.52173913
15,3,9,0,2011-07-05 09:17:45+00:00,5331,0,0,0,User,2.772588722,3.75,11.4,9,0.001687922,9,8.581481681,0.576720506,0,1,1,2,44,77.23333513,1.5
130,0,14,0,2010-08-04 04:42:50+00:00,5666,0,0,0,User,4.875197323,130,91,14,0.002470443,14,8.642415156,0.847289007,0,1,0,1,154,120.9938122,8.666666667
180,1,16,0,2014-10-26 17:52:54+00:00,4121,0,0,0,User,5.198497031,90,126.3,16,0.003881611,16,8.324093761,1.301827909,0,0,0,0,196,133.1855002,10.58823529
302,0,9,0,2012-11-13 20:14:08+00:00,4833,0,0,0,User,5.713732806,302,211.4,9,0.001861812,9,8.483429561,0.631973836,0,1,0,1,321,76.35086605,30.2
49,2,39,0,2013-02-02 06:47:59+00:00,4753,0,0,0,User,3.912023005,16.33333333,34.9,39,0.008203618,39,8.466741648,2.781359906,0,1,1,2,108,330.2029243,1.225
42,0,9,0,2012-11-28 04:43:13+00:00,4819,0,0,0,User,3.761200116,42,29.4,9,0.00186722,9,8.480529207,0.633680556,0,1,0,1,61,76.32476286,4.2
31,0,4,1,2018-10-16 16:21:52+00:00,2670,0,0,0,User,3.465735903,31,21.7,5,0.001871958,2,7.890208213,0.481054366,0,0,0,0,35,31.56083285,6.2
21,4,17,1,2018-09-10 09:09:48+00:00,2707,0,0,0,User,3.091042453,4.2,15.9,18,0.006646972,8.5,7.903965634,2.019856771,0,1,1,2,58,134.3674158,1.166666667
17,1,5,0,2018-01-25 22:57:51+00:00,2934,0,0,0,User,2.890371758,8.5,12.2,5,0.001703578,5,7.984462732,0.553197939,0,1,1,2,42,39.92231366,2.833333333
689,106,25,13,2017-09-07 18:43:07+00:00,3074,38,0,0,User,6.536691598,6.439252336,514.1,38,0.012357724,1.785714286,8.03106018,2.653387613,1,1,0,2,734,200.7765045,26.5
12,5,1,0,2014-11-18 09:19:28+00:00,4099,0,0,0,User,2.564949357,2,9.9,1,0.000243902,1,8.318742253,0.081765233,0,1,1,2,33,8.318742253,6
50,5,5,0,2009-05-14 03:47:32+00:00,6113,0,0,0,User,3.931825633,8.333333333,36.5,5,0.000817795,5,8.718336502,0.281722754,0,0,1,1,65,43.59168251,8.333333333
32,0,5,0,2014-01-26 10:37:07+00:00,4395,0,0,0,User,3.496507561,32,22.4,5,0.001137398,5,8.388450316,0.383403361,0,0,0,0,37,41.94225158,5.333333333
17770,0,16,10,2011-04-05 08:25:37+00:00,5422,0,0,0,User,9.785323194,17770,12439,26,0.004794394,1.454545455,8.598404447,1.009158459,0,0,0,0,17786,137.5744711,1045.294118
15,0,3,0,2018-02-26 17:10:08+00:00,2902,55,0,0,User,2.772588722,15,10.5,3,0.001033414,3,7.973499964,0.335169881,1,1,1,3,48,23.92049989,3.75
399,6,70,4,2010-01-12 21:32:54+00:00,5869,19,0,0,User,5.991464547,57,281.1,74,0.012606474,14,8.677609913,4.09849214,1,1,1,3,499,607.4326939,5.61971831
244,0,12,7,2008-07-04 09:30:25+00:00,6427,0,0,0,User,5.501258211,244,170.8,19,0.002955818,1.5,8.768418727,0.644876325,0,0,0,0,256,105.2210247,18.76923077
99,0,23,2,2010-11-12 17:18:12+00:00,5565,0,0,0,User,4.605170186,99,69.3,25,0.004491556,7.666666667,8.624431942,1.415682968,0,0,1,1,132,198.3619347,4.125
256,14,21,2,2014-12-11 00:33:14+00:00,4076,0,0,0,User,5.549076085,17.06666667,183.4,23,0.005641403,7,8.313116703,1.725962621,0,0,0,0,277,174.5754508,11.63636364
1367,12,63,50,2010-11-19 03:04:10+00:00,5559,94,0,0,User,7.221105098,105.1538462,960.5,113,0.020323741,1.235294118,8.623353387,3.881667792,1,1,1,3,1460,543.2712634,21.359375
20,0,0,0,2012-10-11 18:06:49+00:00,4866,0,0,0,User,3.044522438,20,14,0,0,0,8.49023301,0,0,1,1,2,40,0,20
203,0,28,12,2017-10-02 18:39:54+00:00,3049,103,0,0,User,5.318119994,203,142.1,40,0.013114754,2.153846154,8.02289687,2.993555946,1,0,1,2,251,224.6411123,7
152,0,7,0,2009-10-24 16:33:15+00:00,5949,0,0,0,User,5.030437921,152,106.4,7,0.001176471,7,8.691146499,0.404656319,0,1,1,2,179,60.83802549,19
79,1,9,2,2017-09-05 15:47:02+00:00,3076,0,0,0,User,4.382026635,39.5,55.6,11,0.003574911,3,8.031710375,0.954664342,0,0,0,0,88,72.28539338,7.9
95,0,44,24,2013-03-29 01:26:21+00:00,4698,47,0,0,User,4.564348191,95,66.5,68,0.014471164,1.76,8.455104999,3.172032392,1,1,1,3,169,372.02462,2.111111111
27,0,13,0,2013-01-07 04:34:29+00:00,4779,0,0,0,User,3.33220451,27,18.9,13,0.002719665,13,8.472195825,0.922433904,0,0,1,1,50,110.1385457,1.928571429
22,1,18,1,2012-03-22 03:48:00+00:00,5070,0,0,0,User,3.135494216,11,15.7,19,0.003746796,9,8.531293316,1.208831647,0,0,0,0,40,153.5632797,1.157894737
12,1,4,0,2019-01-22 15:06:13+00:00,2573,33,0,0,User,2.564949357,6,8.7,4,0.001554002,4,7.853216388,0.496936692,1,1,1,3,46,31.41286555,2.4
177,39,89,9,2012-05-06 12:17:54+00:00,5025,0,1,0,User,5.18178355,4.425,135.6,98,0.019498607,8.9,8.522379718,6.02690167,0,0,0,1,276,758.4917949,1.966666667
9,1,6,0,2014-09-06 02:32:32+00:00,4172,0,0,0,User,2.302585093,4.5,6.6,6,0.001437815,6,8.336390481,0.482697818,0,0,0,0,15,50.01834288,1.285714286
166,60,103,7,2011-08-31 19:12:13+00:00,5273,0,0,0,User,5.117993812,2.721311475,134.2,110,0.020857035,12.875,8.570544367,6.668144732,0,0,0,0,269,882.7660698,1.596153846
105,254,192,9,2013-07-21 09:31:24+00:00,4584,9,1,0,User,4.663439094,0.411764706,149.7,201,0.043838604,19.2,8.430545385,14.16043645,1,1,1,4,337,1618.664714,0.544041451
967,10,58,14,2010-01-02 23:53:42+00:00,5879,0,0,0,User,6.875232087,87.90909091,679.9,72,0.012244898,3.866666667,8.679312041,3.390454837,0,1,1,2,1045,503.4000984,16.38983051
35,7,21,0,2015-06-01 20:21:01+00:00,3903,39,0,0,User,3.583518938,4.375,26.6,21,0.005379098,21,8.269756948,1.795923149,1,1,1,3,86,173.6648959,1.590909091
95,25,18,1,2013-03-20 13:10:06+00:00,4707,52,0,0,User,4.564348191,3.653846154,74,19,0.004035684,9,8.457018468,1.295347003,1,1,1,3,143,152.2263324,5
176,3,43,11,2015-06-20 19:52:02+00:00,3884,40,0,0,User,5.176149733,44,124.1,54,0.013899614,3.583333333,8.264878263,3.693810308,1,1,1,3,249,355.3897653,4
3663,8,115,65,2009-12-03 16:29:50+00:00,5909,0,0,0,User,8.206310726,407,2566.5,180,0.030456853,1.742424242,8.68440111,6.690309213,0,1,1,2,3798,998.7061277,31.57758621
12,0,32,0,2010-12-23 20:09:13+00:00,5524,0,0,0,User,2.564949357,12,8.4,32,0.005791855,32,8.617038526,1.983358805,0,0,0,0,44,275.7452328,0.363636364
60,0,4,0,2013-10-28 02:20:51+00:00,4485,0,0,0,User,4.110873864,60,42,4,0.000891663,4,8.408716715,0.301030928,0,0,0,0,64,33.63486686,12
33,0,19,0,2015-05-08 17:52:13+00:00,3927,18,0,0,User,3.526360525,33,23.1,19,0.004837067,19,8.275885669,1.615796831,1,1,1,3,82,157.2418277,1.65
116,66,81,17,2015-09-17 11:12:15+00:00,3796,31,0,0,User,4.762173935,1.731343284,101,98,0.02580985,4.5,8.24196656,7.105263158,1,1,1,3,227,667.5992914,1.414634146
437,35,57,3,2015-09-13 16:53:10+00:00,3799,0,1,0,User,6.08221891,12.13888889,316.4,60,0.015789474,14.25,8.242756346,4.996397695,0,1,0,2,514,469.8371117,7.534482759
205,45,33,63,2011-10-28 08:14:44+00:00,5216,0,0,0,User,5.327876169,4.456521739,157,96,0.01840138,0.515625,8.559677803,2.158215374,0,0,0,0,238,282.4693675,6.029411765
25,2,13,0,2016-09-29 22:15:58+00:00,3417,24,0,0,User,3.258096538,8.333333333,18.1,13,0.003803394,13,8.136810864,1.254627181,1,1,0,2,58,105.7785412,1.785714286
45,0,3,0,2018-02-07 22:34:38+00:00,2921,0,0,0,User,3.828641396,45,31.5,3,0.001026694,3,7.980023592,0.333231893,0,0,0,0,48,23.94007078,11.25
1,2,2,0,2015-07-19 10:08:57+00:00,3856,0,0,0,User,0.693147181,0.333333333,1.3,2,0.000518538,2,8.257644958,0.1729448,0,1,0,1,13,16.51528992,0.333333333
124,0,10,4,2015-07-14 04:58:40+00:00,3861,0,0,0,User,4.828313737,124,86.8,14,0.003625065,2,8.258940463,0.863700899,0,0,0,0,134,82.58940463,11.27272727
85,10,31,2,2008-12-19 02:58:40+00:00,6259,0,1,0,User,4.454347296,7.727272727,62.5,33,0.005271565,10.33333333,8.741935464,1.708182367,0,0,0,1,126,270.9999994,2.65625
90,2,12,0,2013-03-25 18:40:48+00:00,4701,0,0,0,User,4.510859507,30,63.6,12,0.002552105,12,8.455743229,0.864587446,0,1,1,2,122,101.4689187,6.923076923
13,0,0,0,2013-11-16 20:19:27+00:00,4465,0,0,0,User,2.63905733,13,9.1,0,0,0,8.404248432,0,0,0,0,0,13,0,13
214,4,39,3,2012-03-07 16:39:48+00:00,5084,76,0,0,User,5.370638028,42.8,151,42,0.008259587,9.75,8.534050308,2.612405946,1,1,1,3,283,332.827962,5.35
21,4,33,7,2012-03-02 03:39:16+00:00,5090,0,0,0,User,3.091042453,4.2,15.9,40,0.007857003,4.125,8.535229554,2.208065995,0,0,1,1,64,281.6625753,0.617647059
20,0,2,0,2019-10-14 19:45:40+00:00,2307,0,0,0,User,3.044522438,20,14,2,0.000866551,2,7.744136628,0.273203593,0,0,0,0,22,15.48827326,6.666666667
49,0,26,0,2012-10-11 17:28:08+00:00,4866,52,0,0,User,3.912023005,49,34.3,26,0.0053421,26,8.49023301,1.814184668,1,1,1,3,105,220.7460583,1.814814815
10,6,7,0,2015-07-05 17:25:34+00:00,3869,0,0,0,User,2.397895273,1.428571429,8.8,7,0.001808786,7,8.261009786,0.603448276,0,1,1,2,37,57.8270685,1.25
3771,90,166,9,2013-04-27 02:01:53+00:00,4669,139,0,0,User,8.235360644,41.43956044,2666.7,175,0.037473233,16.6,8.448914351,12.03615415,1,1,1,3,3967,1402.519782,22.58083832
26,1,15,18,2014-01-04 09:20:49+00:00,4417,0,0,0,User,3.295836866,13,18.5,33,0.007469443,0.789473684,8.393442384,1.144918444,0,1,1,2,61,125.9016358,1.625
62,4,15,7,2015-10-20 20:58:05+00:00,3762,0,0,0,User,4.143134726,12.4,44.6,22,0.005846399,1.875,8.232971791,1.326629513,0,0,0,0,77,123.4945769,3.875
6,0,0,0,2019-03-08 08:13:04+00:00,2528,0,0,0,User,1.945910149,6,4.2,0,0,0,7.835579247,0,0,0,1,1,16,0,6
94,48,42,33,2008-08-26 16:23:59+00:00,6373,0,0,0,User,4.553876892,1.918367347,80.2,75,0.011766552,1.235294118,8.759982495,2.275155833,0,0,0,0,136,367.9192648,2.186046512
77,2,5,0,2018-04-04 20:43:41+00:00,2865,0,0,0,User,4.356708827,25.66666667,54.5,5,0.001744592,5,7.960672608,0.56501548,0,0,0,0,82,39.80336304,12.83333333
1,0,3,0,2018-09-04 19:29:33+00:00,2712,0,0,0,User,0.693147181,1,0.7,3,0.001105787,3,7.905810313,0.355866103,0,0,0,0,4,23.71743094,0.25
44,26,6,0,2016-01-10 05:05:46+00:00,3681,0,0,0,User,3.80666249,1.62962963,38.6,6,0.001629549,6,8.211211362,0.541275334,0,1,1,2,70,49.26726817,6.285714286
136,1,47,44,2011-02-08 17:27:14+00:00,5477,0,0,0,User,4.919980926,68,95.5,91,0.016611902,1.044444444,8.60849535,2.936494351,0,0,1,1,193,404.5992814,2.833333333
1,0,0,0,2019-01-23 21:45:57+00:00,2571,0,0,0,User,0.693147181,1,0.7,0,0,0,7.852439085,0,0,0,0,0,1,0,1
4,2,2,2,2014-03-09 04:36:55+00:00,4353,0,0,0,User,1.609437912,1.333333333,3.4,4,0.000918695,0.666666667,8.378850242,0.154726579,0,1,1,2,26,16.75770048,1.333333333
48,22,21,0,2017-01-27 20:38:01+00:00,3297,24,1,0,User,3.891820298,2.086956522,40.2,21,0.006367495,21,8.101071503,2.093118514,1,1,1,4,109,170.1225016,2.181818182
552,40,118,27,2010-01-20 00:49:54+00:00,5862,0,0,0,User,6.315358002,13.46341463,398.4,145,0.024731366,4.214285714,8.676416697,6.916653284,0,1,1,2,690,1023.81717,4.638655462
4,3,9,0,2016-12-02 23:24:04+00:00,3353,0,0,0,User,1.609437912,1,3.7,9,0.002683363,9,8.117908942,0.883539537,0,0,0,0,13,73.06118048,0.4
20,0,17,0,2017-08-23 21:38:55+00:00,3089,47,0,0,User,3.044522438,20,14,17,0.005501618,17,8.03592637,1.796467863,1,1,0,2,57,136.6107483,1.111111111
143,15,111,4,2015-01-04 00:17:22+00:00,4052,0,1,0,User,4.9698133,8.9375,104.6,115,0.028374044,22.2,8.307212627,9.172515282,0,1,1,3,284,922.1006016,1.276785714
0,0,0,0,2020-04-23 09:44:05+00:00,2116,0,0,0,User,0,0,0,0,0,0,7.657755271,0,0,1,0,1,10,0,0
7,0,2,0,2018-10-02 22:02:34+00:00,2684,0,0,0,User,2.079441542,7,4.9,2,0.000744879,2,7.895436007,0.239422762,0,0,0,0,9,15.79087201,2.333333333
205,35,31,0,2011-10-08 12:39:37+00:00,5236,18,0,0,User,5.327876169,5.694444444,154,31,0.00591942,31,8.563504094,2.020174969,1,0,1,2,256,265.4686269,6.40625
33,1,37,2,2011-08-30 23:58:37+00:00,5274,0,0,0,User,3.526360525,16.5,23.4,39,0.007393365,12.33333333,8.570733958,2.394928179,0,0,0,0,70,317.1171565,0.868421053
35,35,7,0,2017-12-15 03:57:54+00:00,2976,32,1,0,User,3.583518938,0.972222222,35,7,0.00235136,7,7.998671361,0.764741095,1,1,0,3,72,55.99069953,4.375
160,14,63,17,2012-12-13 20:24:05+00:00,4803,20,1,0,User,5.081404365,10.66666667,116.2,80,0.016652789,3.5,8.477204183,4.449496904,1,1,1,4,263,534.0638635,2.5
25,18,132,3,2016-02-27 09:37:45+00:00,3633,1,0,0,User,3.258096538,1.315789474,22.9,135,0.037149147,33,8.198089249,12.05102551,1,0,0,1,167,1082.147781,0.187969925
4,0,0,0,2016-09-25 01:21:09+00:00,3422,0,0,0,User,1.609437912,4,2.8,0,0,0,8.138272639,0,0,1,0,1,14,0,4
181,0,23,0,2013-03-26 21:10:27+00:00,4700,0,0,0,User,5.204006687,181,126.7,23,0.004892576,23,8.455530531,1.65745311,0,0,1,1,214,194.4772022,7.541666667
44,30,29,15,2013-06-26 15:48:18+00:00,4608,0,0,0,User,3.80666249,1.419354839,39.8,44,0.009546539,1.8125,8.435766193,2.128493867,0,1,1,2,93,244.6372196,1.466666667
32,15,50,8,2009-08-29 20:00:17+00:00,6005,0,0,0,User,3.496507561,2,26.9,58,0.00965701,5.555555556,8.700514249,2.864992151,0,0,1,1,92,435.0257124,0.62745098
26,6,39,0,2015-10-02 21:03:59+00:00,3780,0,0,0,User,3.295836866,3.714285714,20,39,0.010314732,39,8.237743804,3.434258142,0,0,0,0,65,321.2720084,0.65
90,26,19,2,2013-06-29 14:01:06+00:00,4606,29,0,0,User,4.510859507,3.333333333,70.8,21,0.004558281,6.333333333,8.435332165,1.395091531,1,1,1,3,139,160.2713111,4.5
2,2,0,0,2016-11-06 07:01:19+00:00,3380,0,0,0,User,1.098612289,0.666666667,2,0,0,0,8.125926803,0,0,1,0,1,12,0,2
10,0,4,0,2017-01-06 17:13:42+00:00,3318,0,0,0,User,2.397895273,10,7,4,0.001205182,4,8.107418812,0.396415965,0,1,1,2,34,32.42967525,2
551,0,30,0,2010-07-08 06:02:37+00:00,5693,131,0,0,User,6.313548046,551,385.7,30,0.005268704,30,8.647168268,1.807527237,1,1,1,3,611,259.415048,17.77419355
131,43,44,0,2015-05-13 23:39:05+00:00,3922,0,0,0,User,4.882801923,2.977272727,104.6,44,0.011215906,44,8.274611946,3.74620947,0,1,1,2,195,364.0829256,2.911111111
30,0,5,0,2014-01-14 14:05:56+00:00,4407,0,0,0,User,3.433987204,30,21,5,0.001134301,5,8.391176351,0.382439229,0,0,0,0,35,41.95588175,5
13,2,7,6,2013-07-29 10:31:26+00:00,4576,0,0,0,User,2.63905733,4.333333333,9.7,13,0.002840288,1,8.428799041,0.517101801,0,0,0,0,20,59.00159328,1.625
10,0,38,2,2016-11-25 10:52:30+00:00,3361,0,0,0,User,2.397895273,10,7,40,0.01189768,12.66666667,8.120291314,3.722490607,0,0,0,0,48,308.5710699,0.256410256
72,54,20,2,2012-08-06 18:41:17+00:00,4932,0,0,0,User,4.290459441,1.309090909,66.6,22,0.004459761,6.666666667,8.503702601,1.378138569,0,1,1,2,112,170.074052,3.428571429
32,0,13,4,2017-05-31 15:04:33+00:00,3174,0,0,0,User,3.496507561,32,22.4,17,0.005354331,2.6,8.063062911,1.34077423,0,0,0,0,45,104.8198178,2.285714286
19,8,8,4,2015-03-12 12:01:35+00:00,3985,0,0,0,User,2.995732274,2.111111111,15.7,12,0.003010537,1.6,8.290543501,0.671264368,0,1,1,2,47,66.32434801,2.111111111
760,2,39,3,2011-09-30 23:56:32+00:00,5243,0,1,0,User,6.634633358,253.3333333,532.6,42,0.008009153,9.75,8.564839845,2.538338088,0,0,0,1,809,334.028754,19
318,1,7,3,2013-01-25 03:08:39+00:00,4761,0,0,0,User,5.765191103,159,222.9,10,0.002099958,1.75,8.468423027,0.498439329,0,1,0,1,335,59.27896119,39.75
46,10,69,6,2012-06-26 16:37:46+00:00,4973,0,0,0,User,3.850147602,4.181818182,35.2,75,0.015078408,9.857142857,8.511979624,4.718059198,0,1,1,2,135,587.3265941,0.657142857
19,0,2,0,2016-05-10 20:10:01+00:00,3559,0,0,0,User,2.995732274,19,13.3,2,0.000561798,2,8.177515824,0.186034659,0,0,0,0,21,16.35503165,6.333333333
268,0,23,1,2010-09-04 22:50:15+00:00,5634,0,0,0,User,5.59471138,268,187.6,24,0.004259095,11.5,8.636752426,1.3993999,0,1,1,2,311,198.6453058,11.16666667
16,3,64,1,2009-09-18 23:02:33+00:00,5985,0,0,0,User,2.833213344,4,12.1,65,0.01085867,32,8.697178688,3.678740157,0,0,1,1,90,556.6194361,0.246153846
32,6,7,0,2011-10-20 00:20:40+00:00,5224,0,0,0,User,3.496507561,4.571428571,24.2,7,0.001339713,7,8.561210077,0.457147969,0,1,1,2,59,59.92847054,4
26,0,8,0,2018-11-20 18:13:43+00:00,2635,0,0,0,User,3.295836866,26,18.2,8,0.003034901,8,7.877017896,0.973333333,0,1,0,1,44,63.01614316,2.888888889
6,4,14,0,2012-03-07 21:26:35+00:00,5084,0,0,0,User,1.945910149,1.2,5.4,14,0.002753196,14,8.534050308,0.93778675,0,1,0,1,30,119.4767043,0.4
93,0,35,414,2009-04-30 12:16:33+00:00,6127,0,0,0,User,4.543294782,93,65.1,449,0.073270235,0.084337349,8.720623711,1.967806531,0,1,1,2,148,305.2218299,2.583333333
65,1,13,0,2010-06-15 18:39:26+00:00,5715,0,0,0,User,4.189654742,32.5,45.8,13,0.002274318,13,8.651024539,0.780427632,0,0,0,0,78,112.463319,4.642857143
2,2,0,1,2013-01-08 05:38:07+00:00,4778,0,0,0,User,1.098612289,0.666666667,2,1,0.000209249,0,8.471986599,0,0,0,0,0,2,0,2
7,1,25,3,2011-11-11 19:00:44+00:00,5201,160,1,0,User,2.079441542,3.5,5.2,28,0.005382545,6.25,8.556798446,1.639417894,1,1,1,4,72,213.9199612,0.269230769
11415,1,0,4,2015-10-16 05:06:43+00:00,3767,0,0,0,User,9.342771159,5707.5,7990.8,4,0.001061571,0,8.234299636,0,0,0,1,1,11425,0,11415
129,46,82,18,2013-08-27 00:55:31+00:00,4547,103,1,0,User,4.86753445,2.744680851,104.1,100,0.021987687,4.315789474,8.422442855,6.093241042,1,1,1,4,251,690.6403141,1.554216867
176,0,544,56,2011-05-24 13:46:59+00:00,5373,0,1,0,User,5.176149733,176,123.2,600,0.111648679,9.543859649,8.589327789,34.60439177,0,1,0,2,740,4672.594317,0.32293578
175,10,94,21,2013-01-27 09:06:49+00:00,4759,0,0,0,User,5.170483995,15.90909091,125.5,115,0.024159664,4.272727273,8.468002947,6.695940671,0,0,1,1,279,795.992277,1.842105263
13,0,14,2,2013-02-22 16:00:46+00:00,4732,23,0,0,User,2.63905733,13,9.1,16,0.00338052,4.666666667,8.46231453,1.00255052,1,1,1,3,57,118.4724034,0.866666667
57,0,1,3,2014-10-09 23:08:41+00:00,4138,0,0,0,User,4.060443011,57,39.9,4,0.000966417,0.25,8.328209492,0.081057073,0,1,1,2,78,8.328209492,28.5
